Group name,Submission Name,Programming Language,Report,Compile,Time-out,Score,Std
IDCYOLO,IDCYOLO-1,Python,Yes,Yes,No,284.1445,452.6968339
TravelFrog,TravelFrog-5,C++,Yes,Yes,No,283.619,507.132
DesiBoyz,DesiBoyz-6,Java,Yes,Yes,No,280.6838989,452.0081371
David8,David8-2,Java,Yes,Yes,No,278.2488098,449.3024929
Roser1996,Roser1996-1,Python,No,Yes,No,278.0332,489.3064801
goodluck,goodluck-8,Java,Yes,Yes,No,276.806488,449.3517249
FSL,FSL-3,Java,Yes,Yes,No,272.8310852,447.1450972
PJXNB,PJXNB-3,C++,Yes,Yes,No,271.802,448.215
GreedyBlueMoon,GreedyBlueMoon-2,Java,No,Yes,No,269.2730103,445.2199075
OCTOPUS,OCTOPUS-1,C++,Yes,Yes,No,267.279,445.018
GoldOwners,GoldOwners-2,C++,Yes,Yes,No,265.73,443.942
WumpusBusters,WumpusBusters,Java,Yes,Yes,No,265.3927917,442.7846541
Moon,Moon,Java,Yes,Yes,No,265.3717041,443.8724481
Grimoire,Grimoire-1,C++,Yes,Yes,No,264.457,443.942
realDonaldTrump,realDonaldTrump-2,C++,Yes,Yes,No,263.043,440.465
T23,T23-4,Java,Yes,Yes,No,259.9558105,439.3893804
OnePiece,OnePiece-2,Java,Yes,Yes,No,258.4244995,438.7006628
ThePruners,ThePruners-3,C++,Yes,Yes,No,256.488,438.009
AINN,AINN-4,Java,Yes,Yes,No,256.3392944,438.7550177
GaramMasala,GaramMasala-1,Java,Yes,Yes,No,254.2017059,439.3470726
freeagent,freeagent,Java,Yes,Yes,No,247.5579987,436.4422102
We,We-Who-Shall-Not-Be-Named,Java,Yes,Yes,No,247.3874054,434.4218617
MindTheMinotaur,MindTheMinotaur-3,Python,Yes,Yes,No,245.9999,434.869733
OrangeMIlk,OrangeMIlk,Python,Yes,Yes,No,245.5144,432.3535373
Anonymous,Anonymous-2,Java,Yes,Yes,No,244.8220978,432.0401225
GameFactory,GameFactory-3,Python,Yes,Yes,No,244.2292,434.4757665
GoldRush,GoldRush-3,Java,Yes,Yes,No,243.0505981,432.7505169
allen,allen-1,Python,Yes,Yes,No,240.7153,429.7071848
Orange,Orange-5,C++,Yes,Yes,No,233.349,484.963
JavaLearner,JavaLearner-2,C++,No,Yes,No,233.298,425.847
zealots,zealots-1,Java,Yes,Yes,No,230.7375946,425.5835873
ATCG,ATCG-2,Python,Yes,Yes,No,230.3902,425.1648738
Naive,Naive-4,Java,Yes,Yes,No,230.2772064,428.2804728
CrazyInAndOut,CrazyInAndOut-2,Java,Yes,Yes,No,229.716095,424.1332292
IndianaJones,IndianaJones-1,C++,Yes,Yes,No,228.492,423.195
WWW,WWW-2,Java,Yes,Yes,No,224.6911926,421.266091
GG,GG-2,C++,Yes,Yes,No,224.54,441.009
Undefined,Undefined,Python,Yes,Yes,No,222.3841,427.7838003
Whale,Whale-4,Python,Yes,Yes,No,220.6342,418.3485164
WonderGirls,WonderGirls-2,Java,Yes,Yes,No,220.3437958,422.1879743
2Simple,2Simple-2,C++,No,Yes,No,217.514,417.492
DnD,DnD-3,Java,Yes,Yes,No,216.6873932,416.2264101
FrogSimulator,FrogSimulator-2,Java,Yes,Yes,No,216.6322937,416.1931771
AIStart,AIStart-3,C++,Yes,Yes,No,206.919,409.791
RabbitDog,RabbitDog-3,Java,Yes,Yes,No,205.0670929,427.5619887
Softmax,Softmax-2,Python,Yes,Yes,No,200.1478,397.8040889
Corgi,Corgi-6,Python,Yes,Yes,No,198.3826,415.7878149
WarmKitty,WarmKitty-1,C++,Yes,Yes,No,180.415,434.606
YasssQueen,YasssQueen-1,C++,Yes,Yes,No,119.334,342.341
Apple,Apple-2,Python,Yes,Yes,No,0,0
2Naive,2Naive-2,Java,Yes,No,No,0,0
MNM,MNM-3,C++,Yes,Yes,No,0,0
PACMAN,PACMAN-4,Java,Yes,No,No,0,0
DaveRock,DaveRock-2,Python,No,Yes,No,-1004.911,4.535336702
